product_id,sku,name,packaging_type,unit_container_type
928,RG5-DR5-JN6,Nitric Acid 40% -  55 Gallon Drum,Pallets_48x40,Drums
929,AMI-7E3-8B2,Nitric Acid 5% - 55 Gallon Drums,Pallets_48x40,Drums
930,HNW-8FH-TC3,Nitric Acid 65% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
931,XT-TNEN-1FWY,Nitric Acid 65% ACS Grade - 55 Gallon SST Drum,Pallets_48x40,Drums
934,PQB-E7N-HYX,Nitric Acid 65% Technical Grade - 55 Gallon SST Drum,Pallets_48x40,Drums
936,CSW-9CK-P2M,Nitric Acid 67% Tech Grade - 55 Gallon Drum,Pallets_48x40,Drums
937,V35-P58-6W7,Nitric Acid 70% ACS Grade - Low Particle - 220 Gallons (4 x 55 Gallon Drums),Pallets_48x40,Drums
938,LPB-039-JRM,Nitric Acid 70% ACS Grade - Low Particle - 55 Gallon Drum,Pallets_48x40,Drums
939,HAZ-ADC-3D6,Nitric Acid ACS 69% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
942,Q8R-B5C-T55,n-Propyl Alcohol ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
944,QPJ-B43-LVZ,n-Propyl Alcohol ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
945,DD-6LKU-OJDR,Perchloroethylene - 55 Gallon Drum,Pallets_48x40,Drums
946,YA5-RUE-BM8,"Perchloroethylene (PCE, PERC) - 4 x 55 Gallon Drums",Pallets_48x40,Drums
948,8BA-4WG-T82,Perchloroethylene ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
950,M62-ZU2-XBJ,Petroleum Ether ACS Reagent Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
953,YYA-Y62-XXX,Petroleum Ether Technical Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
955,W5J-MQ2-US1,Petroleum Ether Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
957,4NL-U7K-3VH,Phosphoric Acid 30% - 55 Gallon Drum,Pallets_48x40,Drums
959,EDY-ZC5-86U,Phosphoric Acid 75% - 4 x 55 Gallon Drums,Pallets_48x40,Drums
963,O1P-Q2R-S3T,Phosphoric Acid 75% ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
965,I8J-K9L-M0N,Phosphoric Acid 75% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
966,VV-A5IN-JLM7,Phosphoric Acid 75% Tech Grade - 55 Gallon Drum,Pallets_48x40,Drums
970,CS7-BAB-R7P,Phosphoric Acid 75% USP Food Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
972,ZYU-5RT-CZA,Phosphoric Acid 75% USP Food Grade - 55 Gallon Drum,Pallets_48x40,Drums
973,DMK-ELJ-3S5,Phosphoric Acid 85% ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
974,LC9-X8U-WB5,Phosphoric Acid 85% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
976,5U-6G8F-2RDJ,Phosphoric Acid 85% Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
977,GUV-G57-6PQ,Phosphoric Acid 85% USP Food Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
979,N7-LISE-OQTZ,Phosphoric Acid 85% USP Food Grade - 55 Gallon Drum,Pallets_48x40,Drums
982,CQB-NUB-OTA,Polyethylene Glycol (PEG) 200 - 55 Gallon Drum,Pallets_48x40,Drums
984,JKJ-J5N-9KW,Polyethylene Glycol 200 (PEG) - 4 x 55 Gallon Drums,Pallets_48x40,Drums
986, F0S-0HF-XS2,Propylene Glycol 35% - 55 Gallon Drum,Pallets_48x40,Drums
990,KW8-QGD-KS8,Propylene Glycol Inhibited - ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
992,LAO-PPR-LMT,Propylene Glycol Inhibited - ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
545,TRZ-9YS-5W6,10% Vinegar - 4 x 55 Gallon Drums,Pallets_48x40,Drums
546,YUZ-MAK-6ZS,10% Vinegar - 55 Gallon Drum,Pallets_48x40,Drums
547,ST4-K81-485,100% Ethylene Glycol Inhibited - 55 Gallon Drum,Pallets_48x40,Drums
549,US3-WH3-18P,100% Propylene Glycol Inhibited - 55 Gallon Drum,Pallets_48x40,Drums
552,2V9-37C-05G,100% Pure Castor Oil - 55 Gallon Drum,Pallets_48x40,Drums
557,B80-Z5W-3CT,100% Pure Castor Oil ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
558,KZC-JVK-2ZK,100% Pure Castor Oil ACS Grade 4 X 55 Gallon Drums,Pallets_48x40,Drums
560,369-X5P-84G,30% Vinegar - Concentrated Industrial Strength - 4 x 55 Gallon Drums,Pallets_48x40,Drums
564,NUM-A17-UXY,"55 Gallon Open Head Steel Recon Drum, UN Rated, Bolt Ring Black",Pallets_48x40,Drums
565,OJJ-SWJ-MPM,55 Gallon Poly Recon Drum,Pallets_48x40,Drums
5655,  5ZP-SG4-PCC,Dow Silicon Release Coating DC 20 - 55 GL,,
5837,61-HIK3-CWUC,Sodium Hydroxide Flakes -  55 LB Bag,,
5985,9Y-WJD5-ZGCM,N-Propyl Alcohol (N-Propanol) - 55 Gallon,,
5998,A5B-6C7-D8E,Oxalic Acid ACS Grade - Half Pallet (20 x 55 Lb Bags),,
6003,A9B-0C1-D2E,Trisodium EDTA - Full Pallet (approximately 40 x 55 lb Bags),,
6037,B5C-6D7-E8F,Magnesium Hydroxide ACS- 55 Lb,,
6041,B9C-0D1-E2F,Sodium Thiosulfate - Full Pallet (40 x 55 Lb Bags),,
6073,C5D-6E7-F8G,Magnesium Chloride Hexahydrate FCC USP Grade - Full Pallet (Approximately 40 x 55 lb Bags),,
6079,CAM-OLB-TCH,Hydrofluosilicic Acid 23% (HFS) - 55 Gallon,,
6087,CKN-QXT-PLB,Sodium Hypochlorite 12.5% - 55 Gallon,,
6095,CT-NPUX-4MVX,Gleam Guru Ammonia Cleaning Solution - 55 Gallon,,
6104,D5E-6F7-G8H,Boric Acid Powder 99% ACS Grade - Half Pallet (20 x 55 lb Bags),,
6135,DTM-BFH-KZC,Amyl Acetate - 55 Gallon,,
6136,DUE-FQG-UWT,Sodium Thiosulfate - 55 Lb Bag,,
6141,DXJ-Q82-DKV,Battery Water - 55 Gallon,,
6152,E5F-6G7-H8I,Ammonium Bifluoride Flakes - 55 Lb Bag,,
6155,E9F-0G1-H2I,Potassium Hydroxide Flakes ACS Grade - Half Pallet (20 x 55 lb Bags),,
6182,F1G-2HJ-3KL,Citric Acid Monohydrate USP Food Grade - Half Pallet (20 x 55 Lb Bags),,
6186,F3G-4H5-I6J,Trisodium EDTA - Half Pallet (approximately 20 x 55 lb Bags ),,
6200,F9G-0H1-I2J,Oxalic Acid ACS Grade - Full Pallet (40 x 55 Lb Bags),,
6212,FKK-APP-7YA,Xylene ACS Grade - 55 Gallon,,
6238,G3H-4I5-J6K,Sodium Thiosulfate - Half Pallet (20 x 55 Lb Bags),,
6244,G8N-RAY-XGR,Hydrochloric Acid 15% Technical Grade - 55 Gallon,,
6245,G9H-0I1-J2K,Magnesium Hydroxide Technical - Full Pallet (40 x 55 Lb Bags),,
6260,GJU-KRA-RHY,Isobutyl Alcohol 99% - 55 Gallon,,
6282,H9I-0J1-K2L,Magnesium Chloride Hexahydrate FCC USP Grade - Half Pallet (Approximately 20 x 55 lb Bags),,
6293,HL1-Z3S-MW2,Amyl Acetate ACS Grade - 55 Gallon,,
994,W5Q-DJF-PRM,Propylene Glycol Technical Grade - 220 Gallons (4 x 55 Gallon Drums),Pallets_48x40,Drums
996,TGM-4CB-3GR,Propylene Glycol Technical Grade - 55 Gallon Drum,Pallets_48x40,Drums
999,43A-3UP-8FL,Propylene Glycol USP Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
1001,W2-YYE5-XFZF,Propylene Glycol USP Grade - 55 Gallon Drum,Pallets_48x40,Drums
1003,N8P-8NC-5QU,Sa78 DH Thinner Blend - 55 Gallon Drum,Pallets_48x40,Drums
1006,CV-93SI-VQNK,Sodium Bisulfite 40% - 55 Gallon Drum,Pallets_48x40,Drums
1008,YZ8-5Z3-WQ1,Sodium Bisulfite 40% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
6306,HYX-R3D-LV9,Sulfuric Acid 50% Electrolyte Grade - 55 Gallon,,
6314,I9J-0K1-L2M,Boric Acid Powder 99% Acs Grade - 55 LB Bag,,
1019,H3B-0SR-CZC,Sodium Hydroxide 25% ACS Grade - 4 x 55 Gallon Drums,Pallets_48x40,Drums
1021,6VJ-LG2-MY5,Sodium Hydroxide 25% ACS Grade - 55 Gallon Drum,Pallets_48x40,Drums
1025,77H-DTN-N9J,Sodium Hydroxide 25% Solution - 4 x 55 Gallon Drums,Pallets_48x40,Drums
1026,9WJ-NK4-ACG,Sodium Hydroxide 25% Solution - 55 Gallon Drum,Pallets_48x40,Drums
